post_id,title,category,score,num_comments,author,collected_at
49507101,"Advanced AI threatens global financial stability, says Bank of England boss",worldnews,6,0,theanonymousone,2026-08-31 17:44:59.866322
49490870,Nancy Grace Roman Space Telescope,sports,289,102,JumpCrisscross,2026-08-31 17:45:02.745465
49491714,Calibrate Before You Accelerate: Bias Toward Action in a New Role,worldnews,182,76,tuckerwales,2026-08-31 17:45:03.710401
49472216,The Twelve-Factor App (2025),entertainment,315,170,jxmorris12,2026-08-31 17:45:04.646030
49456819,Europe's last regular standard-gauge steam passenger service,worldnews,118,27,GungulSurm,2026-08-31 17:45:17.131245
49447178,Show HN: Typebase – A single-folder back end you write in TypeScript,entertainment,118,30,andrewww-dev,2026-08-31 17:45:18.063497
49479072,Verschlimmbesserung: The Word Your Software Updates Need,worldnews,178,120,speckx,2026-08-31 17:45:24.596837
49420524,"Show HN: Galaxium, an experimental WebGPU space explorer",science,133,39,guillaumec,2026-08-31 17:45:34.868711
49485532,Does the Sumerian King List Align with Paleoclimate Events?,worldnews,134,81,dev_l1x_be,2026-08-31 17:45:42.525303
49491175,Trees for a Changing Climate and Resilient Urban Forest (2022),worldnews,59,18,mooreds,2026-08-31 17:45:48.101475
49477559,Smaller reactors bring nuclear power closer to fulfilling its promise,entertainment,157,236,sohkamyung,2026-08-31 17:45:48.970490
49419409,Experiments with Plotter Art,science,99,11,surprisetalk,2026-08-31 17:45:51.824063
49475979,Interactive Warhammer 40k Galaxy Map,worldnews,161,57,gbxyz,2026-08-31 17:45:52.744047
49481455,Autonomous Mathematical Discovery in an Open-World Multi-Agent Environment,worldnews,120,40,stephenchung,2026-08-31 17:45:55.447089
49486172,Our decision on Cursor following its acquisition by SpaceX,science,839,530,meetpateltech,2026-08-31 17:45:56.380614
49505590,PlayStation wants to prove in court that you don't own your digital games,sports,9,0,Markoff,2026-08-31 17:46:00.027998
49506148,Forbidden planet: was Pluto's 2006 demotion a big mistake?,science,5,0,ziofill,2026-08-31 17:46:00.955979
49433573,My life was changed by four sentences in four books,entertainment,41,18,surprisetalk,2026-08-31 17:46:02.261259
49505140,"Google Maps now shows ""Lake America""",worldnews,7,1,tesnorindian,2026-08-31 17:46:03.256285
49499924,12TB Steam leak reveals unseen Half-Life 2: Episode 3 builds,sports,37,9,sbulaev,2026-08-31 17:46:06.089878
49441316,Global demand for sand spawned a worldwide boom in illegal mining (2015),worldnews,77,29,EndXA,2026-08-31 17:46:17.451794
49476894,Show HN: SubSmith – Turn your own videos into language-learning material,entertainment,75,51,IbrahimF96,2026-08-31 17:46:21.206419
49461817,Show HN: The load-bearing vocabulary of Claude,entertainment,695,326,Labo333,2026-08-31 17:46:23.985263
49501209,Show HN: Hillock: Local neuro-symbolic memory engine in <1.2GB VRAM,entertainment,11,2,roandejager5,2026-08-31 17:46:25.881417
49497500,"Show HN: Drop a SQL schema, get an interactive ER diagram",entertainment,15,5,PatuDev,2026-08-31 17:46:31.507954
49505117,2026 Hugo Awards,worldnews,8,1,demritocracy,2026-08-31 17:46:32.459634
49448321,AWS Acquires DuckLabs,science,1102,316,onderkalaci,2026-08-31 17:46:34.328103
49472820,Terminal-Bench-Science: Evaluating AI agents on scientific research workflows,science,117,36,matt_d,2026-08-31 17:46:37.862840
49458875,Humanity has the debate about AI consciousness backwards,worldnews,118,382,semiquaver,2026-08-31 17:46:39.755002
49464314,"MIT's Ad Hoc Committee on AI Use in Teaching, Learning, and Research Training",science,144,83,pbui,2026-08-31 17:46:43.679489
49499866,Mechanical Panda's Scanning Tunneling Microscope (STM),science,9,0,rickcarlino,2026-08-31 17:46:47.531760
49477697,Daycare Pseudoscience,science,55,19,surprisetalk,2026-08-31 17:46:55.867533
49483038,"Show HN: Sesame - a local-first, open-source password manager",entertainment,65,85,d0mkaaa,2026-08-31 17:46:57.655700
49468834,Previewing the Model Hardware Standard,worldnews,136,60,surprisetalk,2026-08-31 17:46:59.538109
49497227,Show HN: Bolnee-Chat – Self Hosted Chatbot Integration in Your Business Website,entertainment,32,0,AniketWathore,2026-08-31 17:47:01.384551
49464391,"US Government designates host of noblogs.org a ""global terrorist""",worldnews,285,160,robtherobber,2026-08-31 17:47:02.321168
49466715,Launch HN: Salem Robotics (YC S26) – Software for industrial inspection robots,worldnews,49,31,Salem_robotics,2026-08-31 17:47:07.101599
49500504,Cheap GPS Jammers Are Filling the World with Navigation Dead Zones,worldnews,13,6,vinnyglennon,2026-08-31 17:47:12.715284
49432201,How credit card rewards became a $9.2B wealth transfer,worldnews,256,451,conbrian,2026-08-31 17:47:14.591551
49428343,"Box of 300 Love Letters Showed Up, What Whimsical WWII Soldier Who Wrote Them?",entertainment,41,8,gmays,2026-08-31 17:47:21.331750
49471965,"Show HN: OpenTIE and OpenXWA, Modern Ports of Tie Fighter and X-Wing Alliance",entertainment,227,58,elyosh,2026-08-31 17:47:22.277794
49497922,Show HN: C# Game Engine with its own scripting language and IDE,sports,12,0,am-gm,2026-08-31 17:47:28.832903
49453161,The Tariff Cost: analysis of the costs to Americans from new tariffs on Canada,worldnews,231,302,mikestorrent,2026-08-31 17:47:29.740001
49490702,GrapheneOS project: pixel 11 no longer supports hardware memory tagging (MTE),worldnews,316,188,400thecat,2026-08-31 17:47:30.651371
49497779,Show HN: My startup-idea scanner scored 500 ideas; the best got 6.3/10,entertainment,7,4,fayerman,2026-08-31 17:47:33.460449
49493244,What we want is a hunter gatherer lifestyle with space age tools (2022),science,80,101,bilsbie,2026-08-31 17:47:39.060846
49477925,Interactive pattern discovery in binaries (FF-16-TUI),science,30,3,HexLasso,2026-08-31 17:48:08.729291
49504125,West Point prof fired for continuing to teach human causes of climate change,science,18,5,randycupertino,2026-08-31 17:48:31.383171
49420873,"Xiaomi: New CPU matches Apple cores single threaded, much faster multithreaded",sports,1003,736,tosh,2026-08-31 17:48:32.269154
49501791,The world may have less time than it thinks on climate change,science,128,143,andsoitis,2026-08-31 17:48:33.220395
49445252,Disrupting a new covert influence campaign from Russia,sports,97,66,sam_lowry_,2026-08-31 17:48:54.147450
49498133,Nobody Told Me People Still Code New Games for a 1982 Computer,sports,15,5,01-_-,2026-08-31 17:49:11.267542
49466006,Decompiling a Nintendo 64 game in 84 days,sports,270,181,knackers,2026-08-31 17:49:15.526001
49493817,Steve Jobs 8th Grade Science Fair Project: The Silicon-Controlled Rectifier,science,7,0,reaperducer,2026-08-31 17:49:45.043072
49422784,The entire city of San Francisco as a video game,sports,610,172,centrosphere,2026-08-31 17:49:47.067201
49489968,SteamOS 3.9.0 Preview,sports,42,26,EspadaV9,2026-08-31 17:50:39.025076
